Milage,Mode,Ri
1.21,1,1
2.23,1,1
2.3,3,0
2.49,1,1
3.23,1,0
3.64,1,0
3.76,1,0
5.27,1,0
5.34,1,1
5.47,1,1
6.23,1,0
7,3,1
10.21,3,0
10.74,3,1
10.82,3,1
11.55,1,0
11.64,1,0
12.08,1,0
12.76,1,0
13.15,3,0
13.74,1,1
21.31,1,0
24,1,0
28,1,0
30,1,0
38,3,0
40.35,3,0
40.72,1,1
40.92,3,1
61.65,1,0
62.37,1,0
62.71,1,0
74,3,0
77.2,1,0
77.22,1,0
97,3,0
98,1,0
109.27,1,0
120,3,0
123,3,1
125.06,3,1
125.31,3,1
127,3,0
129.43,1,0
129.99,1,0
138,3,0
153.26,1,0
154,1,0
155,1,0
156,3,0
157,3,0
170,1,0
174,1,0
196.81,3,0
218,3,0
223.85,1,0
233,1,0
248,1,0
250,3,0
259,1,0
288,3,0
294,3,0
300,3,0
313.45,3,0
313.65,3,0
325,3,0
329,1,0
331,1,0
367,1,0
374,3,0
378,3,0
386,1,0
395,3,0
396.44,1,0
396.76,1,0
397.59,1,0
397.99,1,0
400,1,0
436,3,0
447,1,0
461.97,3,0
470,3,0
484,3,0
503,3,0
515,3,0
520,1,0
525.62,3,0
543,3,0
559,3,0
562,3,0
569,1,0
590.55,1,0
604.09,3,0
620.45,1,0
620.8,1,0
620.82,1,0
645,3,0
654.26,3,0
654.27,1,0
665,1,0
677,3,0
696,3,0
709,3,0
753,3,0
756,3,0
760.03,3,0
760.65,3,0
776,3,0
777,1,0
801,3,0
827.49,3,0
827.55,3,0
840.17,3,0
